UN;Codigo;Servicio;Sentido;Periodo;Frecuencia_buses_hr;Velocidad_kmh
2;211;211;Ida;FPMA;5,0;20,6
2;211;211;Ida;FPNOC;4,7;22,7
2;211;211;Ida;FPTA;6,0;18,6
2;211;211;Ida;NOC;0,0;0,0
2;211;211;Ida;PMA;7,3;17,2
2;211;211;Ida;PMD;5,3;19,0
2;211;211;Ida;PRENOC1;0,0;0,0
2;211;211;Ida;PRENOC2;4,0;27,5
2;211;211;Ida;PTA1;6,5;15,8
2;211;211;Ida;PTA2;6,0;18,7
2;211;211;Ida;TNOC;7,0;21,9
2;211;211;Ida;TPMA;7,3;20,2
2;211;211;Ret;FPMA;5,3;19,7
2;211;211;Ret;FPNOC;4,7;23,7
2;211;211;Ret;FPTA;6,0;18,4
2;211;211;Ret;NOC;1,3;27,2
2;211;211;Ret;PMA;6,7;15,1
2;211;211;Ret;PMD;5,3;19,0
2;211;211;Ret;PRENOC1;0,0;0,0
2;211;211;Ret;PRENOC2;2,5;26,1
2;211;211;Ret;PTA1;6,5;15,7
2;211;211;Ret;PTA2;6,5;18,8
2;211;211;Ret;TNOC;7,0;22,0
2;211;211;Ret;TPMA;6,7;18,1
2;232;G02;Ida;FPMA;4,0;22,7
2;232;G02;Ida;FPNOC;4,0;26,1
2;232;G02;Ida;FPTA;4,0;19,4
2;232;G02;Ida;NOC;0,0;0,0
2;232;G02;Ida;PMA;8,0;19,9
2;232;G02;Ida;PMD;4,0;20,3
2;232;G02;Ida;PRENOC1;0,0;0,0
2;232;G02;Ida;PRENOC2;2,0;28,4
2;232;G02;Ida;PTA1;6,0;17,4
2;232;G02;Ida;PTA2;6,0;20,2
2;232;G02;Ida;TNOC;4,0;27,8
2;232;G02;Ida;TPMA;4,0;21,9
2;232;G02;Ret;FPMA;4,7;21,4
2;232;G02;Ret;FPNOC;4,0;26,6
2;232;G02;Ret;FPTA;4,0;20,2
2;232;G02;Ret;NOC;0,0;0,0
2;232;G02;Ret;PMA;9,3;12,9
2;232;G02;Ret;PMD;4,0;20,4
2;232;G02;Ret;PRENOC1;0,0;0,0
2;232;G02;Ret;PRENOC2;2,0;28,6
2;232;G02;Ret;PTA1;5,5;17,7
2;232;G02;Ret;PTA2;5,5;21,4
2;232;G02;Ret;TNOC;5,0;21,8
2;232;G02;Ret;TPMA;4,0;19,3
2;244;G14;Ida;FPMA;5,0;20,0
2;244;G14;Ida;FPNOC;4,7;22,5
2;244;G14;Ida;FPTA;5,2;16,7
2;244;G14;Ida;NOC;0,0;0,0
2;244;G14;Ida;PMA;6,7;16,1
2;244;G14;Ida;PMD;4,0;17,4
2;244;G14;Ida;PRENOC1;0,0;0,0
2;244;G14;Ida;PRENOC2;3,5;26,2
2;244;G14;Ida;PTA1;6,0;13,8
2;244;G14;Ida;PTA2;6,5;16,0
2;244;G14;Ida;TNOC;6,0;23,8
2;244;G14;Ida;TPMA;5,3;19,0
2;244;G14;Ret;FPMA;5,0;18,8
2;244;G14;Ret;FPNOC;4,0;23,1
2;244;G14;Ret;FPTA;5,2;17,2
2;244;G14;Ret;NOC;0,0;0,0
2;244;G14;Ret;PMA;6,7;11,8
2;244;G14;Ret;PMD;4,0;17,3
2;244;G14;Ret;PRENOC1;0,0;0,0
2;244;G14;Ret;PRENOC2;2,0;25,7
2;244;G14;Ret;PTA1;6,0;14,1
2;244;G14;Ret;PTA2;6,5;17,7
