;Frecuencia [buses/hora];;;;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;;Capacidad [plazas/hora];;;;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;FREC_PUNTA;FREC_VALLE;INDICE_PUNTA_VALLE;CAP_POR_BUS_PUNTA;TIPO_ZONA
;;;;;Laboral;;;;;;;;;;;;Sábado;;;;;;;;;Domingo;;;;;;;;;;;;;Laboral;;;;;;;;;;;;Sábado;;;;;;;;;Domingo;;;;;;;;0;0;0;0;Periférica
;;;;;PRENOC1;NOC;TNOC;PMA;TPMA;FPMA;PMD;FPTA;PTA1;PTA2;FPNOC;PRENOC2;PRENOC SAB1;NOC SAB;TSAB MAÑ;PMA SAB;MAÑ SAB;PMD SAB;TARDE SAB;TSAB NOC;PRENOC SAB2;PRENOC DOM1;NOC DOM;TDOM MAÑ;MAÑ DOM;MED DOM;TAR DOM;TDOM NOC;PRENOC DOM2;;;;;;PRENOC1;NOC;TNOC;PMA;TPMA;FPMA;PMD;FPTA;PTA1;PTA2;FPNOC;PRENOC2;PRENOC SAB1;NOC SAB;TSAB MAÑ;PMA SAB;MAÑ SAB;PMD SAB;TARDE SAB;TSAB NOC;PRENOC SAB2;PRENOC DOM1;NOC DOM;TDOM MAÑ;MAÑ DOM;MED DOM;TAR DOM;TDOM NOC;PRENOC DOM2;0;0;0;0;Periférica
;;;;;0:00;1:00;5:30;6:30;8:00;9:30;12:30;14:00;16:30;18:30;20:30;22:00;0:00;1:00;5:30;6:30;9:00;12:00;15:00;19:30;22:00;0:00;1:00;5:30;7:30;13:00;18:00;21:00;22:00;;;;;;0:00;1:00;5:30;6:30;8:00;9:30;12:30;14:00;16:30;18:30;20:30;22:00;0:00;1:00;5:30;6:30;9:00;12:00;15:00;19:30;22:00;0:00;1:00;5:30;7:30;13:00;18:00;21:00;22:00;0,515625;0,5;1,03125;1;Periférica
Unidad de Negocio;Código TS;Código Usuario;Sentido;Tipo;0:59;5:29;6:29;7:59;9:29;12:29;13:59;16:29;18:29;20:29;21:59;23:59;0:59;5:29;6:29;8:59;11:59;14:59;19:29;21:59;23:59;0:59;5:29;7:29;12:59;17:59;20:59;21:59;23:59;Unidad de Negocio;Código TS;Código Usuario;Sentido;Tipo;0:59;5:29;6:29;7:59;9:29;12:29;13:59;16:29;18:29;20:29;21:59;23:59;0:59;5:29;6:29;8:59;11:59;14:59;19:29;21:59;23:59;0:59;5:29;7:29;12:59;17:59;20:59;21:59;23:59;0,587847222;0,596527778;0,985448196;1;Periférica
9;930c;F10c;Ida;;0;0,444444444;8;8;4,666666667;0,333333333;0;0;3,5;5;2,666666667;0;0;0,444444444;4;4;1,333333333;0;0;0;0;0;0;0;0;0;0;0;0;9;930c;F10c;Ida;;0;40;720;720;420;30;0;0;315;450;240;0;0;40;360;360;120;0;0;0;0;0;0;0;0;0;0;0;0;5,291666667;0,111111111;47,625;90;Periférica
13;1329c;429c;Ida;;0;0;0;7,333333333;4,666666667;0;0;0,4;5;3,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1329c;429c;Ida;;0;0;0;660;420;0;0;36;450;315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,125;0,133333333;38,4375;90;Periférica
11;1122c;B12c;Ret;;0;0;2;4,666666667;4,666666667;0,666666667;0;0;6;5,5;0;0;0;0;3;3,6;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1122c;B12c;Ret;;0;0;180;420;420;60;0;0;540;495;0;0;0;0;270;324;0;0;0;0;0;0;0;0;0;0;0;0;0;5,208333333;0,222222222;23,4375;90;Periférica
9;945e;F25e;Ret;;0;0;0;4;4;0,666666667;0;0;3;6;3,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;945e;F25e;Ret;;0;0;0;360;360;60;0;0;270;540;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,25;0,222222222;19,125;90;Periférica
12;1237c;117c;Ida;;0;0;4;6;3,333333333;0;0;0,8;5;4,5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;1237c;117c;Ida;;0;0;360;540;300;0;0;72;450;405;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,708333333;0,266666667;17,65625;90;Central
9;932c;F12c;Ida;;0;0;6;6;4,666666667;0,666666667;0;0;1,5;3;3,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;932c;F12c;Ida;;0;0;540;540;420;60;0;0;135;270;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,791666667;0,222222222;17,0625;90;Periférica
13;1301c;401c;Ida;;0;0;0;1,333333333;2;0,333333333;0;0;0,5;2;0,666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1301c;401c;Ida;;0;0;0;120;180;30;0;0;45;180;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,458333333;0,111111111;13,125;90;Periférica
13;1301c;401c;Ret;;0;0;0;1,333333333;2;0,333333333;0;0;0,5;2;0,666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1301c;401c;Ret;;0;0;0;120;180;30;0;0;45;180;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,458333333;0,111111111;13,125;90;Periférica
5;507c;507c;Ret;;0;0;6;6,666666667;6;0;0;1,6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;507c;507c;Ret;;0;0;486;540;486;0;0;129,6;486;486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,166666667;0,533333333;11,5625;81;Periférica
5;507c;507c;Ida;;0;0;0;7,333333333;6;1,666666667;0;0;6;6;2,666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;507c;507c;Ida;;0;0;0;594;486;135;0;0;486;486;216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,333333333;0,555555556;11,4;81;Periférica
15;1506e;506e;Ret;;0;0;0;5,333333333;5,333333333;1,333333333;0;0;2,5;5;3,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1506e;506e;Ret;;0;0;0;480;480;120;0;0;225;450;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,541666667;0,444444444;10,21875;90;Periférica
11;1122c;B12c;Ida;;0;0;5;6,666666667;4;0;0;1,6;5,5;3;0;0;0;0;3;4,8;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1122c;B12c;Ida;;0;0;450;600;360;0;0;144;495;270;0;0;0;0;270;432;0;0;0;0;0;0;0;0;0;0;0;0;0;4,791666667;0,533333333;8,984375;90;Periférica
13;1329c;429c;Ret;;0;0;0;2,666666667;4,666666667;1,333333333;0;0;2,5;5;1,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1329c;429c;Ret;;0;0;0;240;420;120;0;0;225;450;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,708333333;0,444444444;8,34375;90;Periférica
12;1236c;406c;Ida;;0;0;0;7,333333333;6;1;0;1,2;6,5;3,5;0;0;0;0;0;4,8;1,666666667;0;0;0;0;0;0;0;0;0;0;0;0;12;1236c;406c;Ida;;0;0;0;1100;900;150;0;180;975;525;0;0;0;0;0;432;150;0;0;0;0;0;0;0;0;0;0;0;0;5,833333333;0,733333333;7,954545455;150;Central
12;1235c;405c;Ret;;0;0,666666667;6;6,666666667;5,333333333;0;0;2,4;6,5;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;1235c;405c;Ret;;0;60;540;600;480;0;0;216;585;540;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,125;0,8;7,65625;90;Central
9;932c;F12c;Ret;;0;0;2;4;4;1,666666667;0;0;3;6;3,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;932c;F12c;Ret;;0;0;180;360;360;150;0;0;270;540;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,25;0,555555556;7,65;90;Periférica
13;1340e;C30e;Ida;;0;0;4;7,333333333;7,333333333;1,666666667;0;2;7;6,5;1,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1340e;C30e;Ida;;0;0;600;1100;1100;250;0;300;1050;975;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,041666667;1,222222222;5,761363636;150;Periférica
13;1340e;C30e;Ret;;0;0;4;6,666666667;7,333333333;1,666666667;0;2;7,5;6;1,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1340e;C30e;Ret;;0;0;600;1000;1100;250;0;300;1125;900;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,875;1,222222222;5,625;150;Periférica
11;1110e;C10e;Ida;;0;0;4;13,33333333;12;3;0;2,8;8,5;6,5;1,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1110e;C10e;Ida;;0;0;360;1200;1080;270;0;252;765;585;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,08333333;1,933333333;5,215517241;90;Periférica
11;1110e;C10e;Ret;;0;0;4;11,33333333;10,66666667;3;0;2,8;9,5;6,5;1,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1110e;C10e;Ret;;0;0;360;1020;960;270;0;252;855;585;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,5;1,933333333;4,913793103;90;Periférica
10;1011c;421c;Ida;;0;0;0;3,333333333;3,333333333;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1011c;421c;Ida;;0;0;0;300;300;0;0;180;360;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,166666667;0,666666667;4,75;90;Periférica
3;313enc;313enc;Ret;1;0;0;0;0;3,333333333;0,666666667;0;0;0;0;0,666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;313enc;313enc;Ret;1;0;0;0;0;310;62;0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,833333333;0,222222222;3,75;0;Semi-Central
