Unidad de Negocio,Código TS,Código Usuario,Sentido,FREC_PUNTA,FREC_VALLE,INDICE_PUNTA_VALLE,CAP_POR_BUS_PUNTA,TIPO_ZONA
9,930c,F10c,Ida,5.291666666666667,0.1111111111111111,47.62500000000001,90.0,Periférica
13,1329c,429c,Ida,5.125,0.13333333333333333,38.4375,90.0,Periférica
11,1122c,B12c,Ret,5.208333333333334,0.2222222222222222,23.437500000000004,90.0,Periférica
9,945e,F25e,Ret,4.25,0.2222222222222222,19.125,90.0,Periférica
12,1237c,117c,Ida,4.708333333333333,0.26666666666666666,17.65625,90.0,Central
9,932c,F12c,Ida,3.791666666666667,0.2222222222222222,17.062500000000004,90.0,Periférica
13,1301c,401c,Ida,1.4583333333333333,0.1111111111111111,13.125,90.00000000000001,Periférica
13,1301c,401c,Ret,1.4583333333333333,0.1111111111111111,13.125,90.00000000000001,Periférica
5,507c,507c,Ret,6.166666666666667,0.5333333333333333,11.5625,81.0,Periférica
5,507c,507c,Ida,6.333333333333333,0.5555555555555556,11.399999999999999,81.0,Periférica
15,1506e,506e,Ret,4.541666666666666,0.44444444444444436,10.21875,90.0,Periférica
11,1122c,B12c,Ida,4.791666666666667,0.5333333333333333,8.984375,90.0,Periférica
13,1329c,429c,Ret,3.7083333333333335,0.44444444444444436,8.343750000000002,89.99999999999999,Periférica
12,1236c,406c,Ida,5.833333333333333,0.7333333333333334,7.954545454545453,150.0,Central
12,1235c,405c,Ret,6.125,0.7999999999999999,7.656250000000001,90.0,Central
9,932c,F12c,Ret,4.25,0.5555555555555557,7.649999999999998,90.0,Periférica
13,1340e,C30e,Ida,7.041666666666666,1.2222222222222223,5.761363636363636,150.0,Periférica
13,1340e,C30e,Ret,6.875,1.2222222222222223,5.624999999999999,150.0,Periférica
11,1110e,C10e,Ida,10.083333333333332,1.9333333333333333,5.21551724137931,90.00000000000001,Periférica
11,1110e,C10e,Ret,9.5,1.9333333333333333,4.913793103448276,90.00000000000003,Periférica
10,1011c,421c,Ida,3.1666666666666665,0.6666666666666666,4.75,90.00000000000001,Periférica
3,313enc,313enc,Ret,0.8333333333333334,0.2222222222222222,3.7500000000000004,0.0,Semi-Central
12,1245c,445c,Ret,2.875,0.7999999999999999,3.5937500000000004,0.0,Central
19,1945,245,Ida,9.541666666666666,4.0,2.3854166666666665,90.0,Periférica
3,370,B45,Ida,10.25,4.555555555555556,2.2499999999999996,92.6875,Semi-Central
3,308c,308c,Ida,8.875,4.0,2.21875,90.5,Semi-Central
4,437,G37,Ret,1.0,0.4666666666666666,2.1428571428571432,91.0,Periférica
5,582,J22,Ret,1.0,0.4666666666666666,2.1428571428571432,81.0,Periférica
3,370,B45,Ret,9.916666666666666,4.955555555555556,2.0011210762331837,92.6875,Semi-Central
9,933,B33,Ida,9.625,4.955555555555556,1.9422645739910314,90.0,Periférica
18,1808c,208c,Ida,11.291666666666666,6.0,1.8819444444444444,90.00000000000001,Periférica
2,282,282,Ret,0.875,0.4666666666666666,1.8750000000000002,92.00000000000001,Central
18,1803c,203c,Ida,8.291666666666668,4.466666666666667,1.8563432835820897,89.99999999999997,Periférica
4,437,G37,Ida,0.875,0.48888888888888893,1.789772727272727,91.0,Periférica
18,1841c,301c,Ret,10.5,6.0,1.75,90.0,Periférica
3,381,I11,Ida,10.416666666666668,6.0,1.7361111111111114,90.0,Semi-Central
4,476,G16,Ret,9.041666666666666,5.222222222222222,1.731382978723404,76.0,Periférica
13,1344,444,Ret,5.25,3.0444444444444443,1.7244525547445257,90.0,Periférica
3,307c,307c,Ret,8.916666666666668,5.2,1.7147435897435899,91.52941176470587,Semi-Central
3,381,I11,Ret,10.5,6.133333333333333,1.7119565217391306,90.0,Semi-Central
11,1132,C22,Ida,5.333333333333333,3.155555555555555,1.6901408450704227,90.0,Periférica
3,307c,307c,Ida,8.541666666666668,5.066666666666666,1.6858552631578951,91.23529411764706,Semi-Central
11,1132,C22,Ret,5.333333333333333,3.1777777777777776,1.6783216783216783,90.0,Periférica
5,550c,110c,Ida,6.916666666666667,4.133333333333334,1.6733870967741935,81.0,Periférica
