Tipo_dia,Modo,Paradero,SIMIT,Comuna,Media_hora,Subidas_Promedio
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,00:00:00,1.2
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,00:30:00,1.4
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,01:00:00,0.2
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,01:30:00,0.6
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,04:00:00,0.2
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,06:00:00,11.4
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,06:30:00,28.4
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,07:00:00,68.8
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,07:30:00,56.8
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,08:00:00,41.6
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,08:30:00,39.6
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,09:00:00,36.2
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,09:30:00,40.6
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,10:00:00,39.0
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,10:30:00,42.8
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,11:00:00,61.6
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,11:30:00,64.0
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,12:00:00,69.8
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,12:30:00,77.2
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,13:00:00,86.6
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,13:30:00,87.6
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,14:00:00,96.6
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,14:30:00,100.0
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,15:00:00,95.8
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,15:30:00,97.8
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,16:00:00,111.0
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,16:30:00,115.2
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,17:00:00,150.4
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,17:30:00,209.8
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,18:00:00,239.8
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,18:30:00,302.8
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,19:00:00,278.4
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,19:30:00,228.0
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,20:00:00,163.4
LABORAL,BUS,E-13-278-OP-30,PI228,MAIPÚ,20:30:00,101.0
